Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
32.0,6,169.9,145.068378492422,0.1,0.0,0.0,0.4,1.0,0.0,0.0,10,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3797,66,2962,379.7,908.2125363102576,379.7,0.0068933963775634,10,824850.0111111111,BENIGN
32.0,6,147.6,980.5044767047712,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6452,66,1514,645.2,747.7439847077786,645.2,0.001092505455017,10,559121.0666666667,BENIGN
20.0,6,120.8,367.1195371513099,0.0,0.0,0.0,0.1,0.5,0.0,0.0,5,0,0,0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,959,66,309,95.9,75.4636777971142,95.9,0.0036427021026611,10,5694.766666666666,BENIGN
20.0,6,64.0,246.8471883000324,0.0,0.0,0.0,0.2,0.5,0.0,0.0,5,0,0,0,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,21528,60,13583,2152.8,4245.706662814409,2152.8,0.0040853977203369,10,18026025.06666667,BENIGN
8.8,17,75.3,81.16431583286085,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.0,0.1,0.1,0.0,0.9,0.9,814,60,230,81.4,53.54167639429224,81.4,0.0158876895904541,10,2866.7111111111108,BENIGN
19.2,6,74.6,104.08218770162291,0.2,0.0,0.0,0.2,0.5,0.0,0.0,5,0,2,0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.1,0.0,0.0,0.9,0.9,1216,60,441,121.6,123.46677465798012,121.6,0.0096123933792114,10,15244.04444444444,BENIGN
8.0,17,61.6,1870.8702439894728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8656,75,1392,865.6,679.5804588126412,865.6,0.0005388975143432,10,461829.5999999999,BENIGN
20.0,6,82.7,127.24433145443624,0.1,0.0,0.0,0.1,0.5,0.0,0.0,5,0,1,0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,6635,60,4410,663.5,1391.4311776808158,663.5,0.0106318950653076,10,1936080.7222222225,BENIGN
28.4,6,163.3,109.89836317282978,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,842,60,176,84.2,43.455724594119935,84.2,0.0091567993164062,10,1888.4000000000003,BENIGN
29.6,6,97.8,924.629425510339,0.0,0.0,0.0,0.0,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,6604,66,2962,660.4,1213.975214830279,660.4,0.0011152982711791,10,1473735.8222222216,BENIGN
