ip,port,threat_type,malware,confidence,first_seen
154.88.99.40,8884,botnet_cc,VShell,100,2026-06-05 16:00:22 UTC
154.88.99.39,8884,botnet_cc,VShell,100,2026-06-05 16:00:22 UTC
154.88.99.41,8884,botnet_cc,VShell,100,2026-06-05 16:00:21 UTC
154.88.99.42,8884,botnet_cc,VShell,100,2026-06-05 16:00:20 UTC
154.88.99.45,8884,botnet_cc,VShell,100,2026-06-05 15:00:14 UTC
154.88.99.43,8884,botnet_cc,VShell,100,2026-06-05 15:00:14 UTC
154.88.99.53,8884,botnet_cc,VShell,100,2026-06-05 15:00:13 UTC
154.88.99.46,8884,botnet_cc,VShell,100,2026-06-05 15:00:13 UTC
154.88.99.48,8884,botnet_cc,VShell,100,2026-06-05 14:00:22 UTC
154.88.99.47,8884,botnet_cc,VShell,100,2026-06-05 14:00:22 UTC
154.88.99.49,8884,botnet_cc,VShell,100,2026-06-05 14:00:20 UTC
154.88.99.50,8884,botnet_cc,VShell,100,2026-06-05 14:00:19 UTC
154.88.99.52,8884,botnet_cc,VShell,100,2026-06-05 13:00:15 UTC
154.88.99.51,8884,botnet_cc,VShell,100,2026-06-05 13:00:15 UTC
154.88.99.57,8884,botnet_cc,VShell,100,2026-06-05 13:00:14 UTC
154.88.99.54,8884,botnet_cc,VShell,100,2026-06-05 12:00:22 UTC
154.88.99.56,8884,botnet_cc,VShell,100,2026-06-05 12:00:21 UTC
154.88.99.55,8884,botnet_cc,VShell,100,2026-06-05 12:00:21 UTC
204.10.160.182,6025,botnet_cc,STRRAT,100,2026-06-05 12:00:10 UTC
137.220.133.57,80,botnet_cc,ValleyRAT,75,2026-06-05 11:40:49 UTC
118.107.9.185,1115,botnet_cc,ValleyRAT,75,2026-06-05 11:40:48 UTC
137.220.133.57,433,botnet_cc,ValleyRAT,75,2026-06-05 11:40:48 UTC
137.220.133.57,443,botnet_cc,ValleyRAT,75,2026-06-05 11:40:48 UTC
118.107.9.185,1113,botnet_cc,ValleyRAT,75,2026-06-05 11:40:47 UTC
154.88.99.58,8884,botnet_cc,VShell,100,2026-06-05 11:00:17 UTC
154.88.99.59,8884,botnet_cc,VShell,100,2026-06-05 11:00:16 UTC
154.88.99.61,8884,botnet_cc,VShell,100,2026-06-05 11:00:15 UTC
18.176.224.100,8888,botnet_cc,Unknown malware,100,2026-06-05 11:00:14 UTC
154.88.99.62,8884,botnet_cc,VShell,100,2026-06-05 10:00:20 UTC
124.222.65.141,8089,botnet_cc,VShell,100,2026-06-05 10:00:19 UTC
159.138.167.119,8888,botnet_cc,Unknown malware,100,2026-06-05 10:00:18 UTC
119.45.166.6,9443,botnet_cc,Cobalt Strike,75,2026-06-05 09:46:05 UTC
64.94.85.14,4321,botnet_cc,AdaptixC2,75,2026-06-05 09:45:27 UTC
5.249.160.112,7443,botnet_cc,Unknown malware,75,2026-06-05 09:45:20 UTC
195.26.86.134,7443,botnet_cc,Unknown malware,75,2026-06-05 09:44:00 UTC
193.149.190.156,7443,botnet_cc,Unknown malware,75,2026-06-05 09:43:56 UTC
182.23.2.163,58222,botnet_cc,Remcos,75,2026-06-05 09:43:46 UTC
182.23.2.163,10401,botnet_cc,Remcos,75,2026-06-05 09:43:44 UTC
182.23.2.163,11742,botnet_cc,Remcos,75,2026-06-05 09:43:44 UTC
158.247.194.144,80,botnet_cc,Havoc,75,2026-06-05 09:43:29 UTC
101.34.249.170,8085,botnet_cc,VShell,100,2026-06-05 09:00:18 UTC
118.195.197.228,6651,botnet_cc,VShell,100,2026-06-05 09:00:17 UTC
192.210.215.182,3308,botnet_cc,VShell,100,2026-06-05 09:00:16 UTC
154.88.96.38,8884,botnet_cc,VShell,100,2026-06-05 09:00:16 UTC
3.36.117.91,81,botnet_cc,VShell,100,2026-06-05 09:00:15 UTC
8.145.40.223,8084,botnet_cc,VShell,50,2026-06-05 08:06:45 UTC
130.94.33.140,8080,botnet_cc,VShell,50,2026-06-05 08:06:44 UTC
154.36.188.239,80,botnet_cc,Cobalt Strike,75,2026-06-05 08:06:43 UTC
79.133.56.151,18084,botnet_cc,VShell,100,2026-06-05 07:00:17 UTC
204.194.49.142,8080,botnet_cc,Cobalt Strike,100,2026-06-05 07:00:16 UTC
204.194.49.142,443,botnet_cc,Cobalt Strike,100,2026-06-05 07:00:15 UTC
31.76.87.101,80,botnet_cc,Stealc,100,2026-06-05 06:00:22 UTC
111.229.188.75,8084,botnet_cc,VShell,100,2026-06-05 06:00:21 UTC
185.91.127.173,38014,botnet_cc,Unknown RAT,75,2026-06-05 05:46:40 UTC
111.55.74.100,52721,payload_delivery,Mozi,100,2026-06-05 05:46:01 UTC
110.38.254.160,50664,payload_delivery,Mozi,100,2026-06-05 05:46:01 UTC
223.123.42.237,53019,payload_delivery,Mozi,100,2026-06-05 05:46:00 UTC
153.117.37.25,36970,payload_delivery,Mozi,100,2026-06-05 05:46:00 UTC
202.70.139.56,60896,payload_delivery,Mozi,100,2026-06-05 05:46:00 UTC
189.174.142.184,56193,payload_delivery,Mozi,100,2026-06-05 05:45:59 UTC
72.255.18.214,36405,payload_delivery,Mozi,100,2026-06-05 05:45:59 UTC
124.229.33.220,50854,payload_delivery,Mozi,100,2026-06-05 05:45:58 UTC
223.123.35.47,54367,payload_delivery,Mozi,100,2026-06-05 05:45:57 UTC
105.186.143.24,59469,payload_delivery,Mozi,100,2026-06-05 05:45:57 UTC
103.176.16.78,51683,payload_delivery,Mozi,100,2026-06-05 05:45:57 UTC
124.29.194.26,42356,payload_delivery,Mozi,100,2026-06-05 05:45:56 UTC
95.82.118.182,44093,payload_delivery,Mozi,100,2026-06-05 05:45:56 UTC
58.65.216.9,58090,payload_delivery,Mozi,100,2026-06-05 05:45:55 UTC
103.181.160.22,37187,payload_delivery,Mozi,100,2026-06-05 05:45:54 UTC
110.38.218.245,48087,payload_delivery,Mozi,100,2026-06-05 05:45:54 UTC
119.189.212.129,44218,payload_delivery,Mozi,100,2026-06-05 05:45:53 UTC
202.9.122.145,56390,payload_delivery,Mozi,100,2026-06-05 05:45:53 UTC
153.117.32.174,49040,payload_delivery,Mozi,100,2026-06-05 05:45:53 UTC
185.91.127.173,24959,botnet_cc,XWorm,75,2026-06-05 05:45:49 UTC
103.73.161.238,6667,botnet_cc,ValleyRAT,100,2026-06-05 05:20:15 UTC
167.71.70.184,80,botnet_cc,AMOS,100,2026-06-05 05:19:31 UTC
91.92.42.203,5544,payload_delivery,Mirai,100,2026-06-05 05:19:21 UTC
195.181.245.252,9443,payload_delivery,XMRIG,80,2026-06-05 05:19:19 UTC
57.128.171.186,2375,payload_delivery,XMRIG,80,2026-06-05 05:19:17 UTC
104.236.83.40,2375,payload_delivery,RedTail,80,2026-06-05 05:19:16 UTC
220.162.198.142,2375,payload_delivery,RedTail,80,2026-06-05 05:19:16 UTC
110.35.80.116,80,payload_delivery,Mirai,80,2026-06-05 05:19:15 UTC
8.229.68.116,2375,payload_delivery,Mirai,80,2026-06-05 05:19:15 UTC
71.6.239.181,5432,botnet_cc,XMRIG,80,2026-06-05 05:19:15 UTC
45.156.87.119,5432,botnet_cc,XMRIG,80,2026-06-05 05:19:13 UTC
66.240.223.240,5432,botnet_cc,XMRIG,80,2026-06-05 05:19:12 UTC
124.90.54.135,5432,botnet_cc,XMRIG,80,2026-06-05 05:19:12 UTC
66.132.224.234,5432,botnet_cc,XMRIG,80,2026-06-05 05:19:12 UTC
92.60.77.99,8888,payload_delivery,XMRIG,80,2026-06-05 05:19:10 UTC
189.110.239.137,2375,payload_delivery,XMRIG,80,2026-06-05 05:19:09 UTC
107.150.105.91,80,botnet_cc,Cobalt Strike,100,2026-06-05 05:00:15 UTC
154.83.16.73,8899,botnet_cc,VShell,100,2026-06-05 05:00:14 UTC
47.92.122.207,8084,botnet_cc,VShell,100,2026-06-05 05:00:14 UTC
119.45.166.6,8080,botnet_cc,Cobalt Strike,100,2026-06-05 04:00:21 UTC
154.88.96.34,8884,botnet_cc,VShell,100,2026-06-05 04:00:21 UTC
119.45.166.6,80,botnet_cc,Cobalt Strike,100,2026-06-05 04:00:20 UTC
43.224.224.15,4782,botnet_cc,Quasar RAT,100,2026-06-05 03:00:17 UTC
43.224.224.20,4782,botnet_cc,Quasar RAT,100,2026-06-05 03:00:16 UTC
186.169.71.201,6000,botnet_cc,AsyncRAT,100,2026-06-05 03:00:15 UTC
61.110.5.174,33061,botnet_cc,VShell,100,2026-06-05 03:00:15 UTC
89.124.78.101,80,botnet_cc,Amadey,50,2026-06-05 02:36:02 UTC
106.12.20.75,8080,botnet_cc,Cobalt Strike,100,2026-06-05 02:00:22 UTC
216.128.154.222,80,botnet_cc,VShell,100,2026-06-05 02:00:22 UTC
89.125.48.85,15649,botnet_cc,SectopRAT,100,2026-06-05 01:45:28 UTC
54.37.128.55,3041,botnet_cc,Remcos,100,2026-06-05 01:45:26 UTC
37.120.206.165,56687,botnet_cc,Remcos,100,2026-06-05 01:45:21 UTC
196.251.107.114,24031,botnet_cc,Remcos,100,2026-06-05 01:45:16 UTC
172.111.163.172,29810,botnet_cc,Remcos,100,2026-06-05 01:45:15 UTC
95.70.188.185,1337,botnet_cc,Quasar RAT,100,2026-06-05 01:45:09 UTC
5.35.87.192,10134,botnet_cc,Nanocore RAT,100,2026-06-05 01:45:06 UTC
106.12.20.75,80,botnet_cc,Cobalt Strike,100,2026-06-05 01:00:18 UTC
5.230.201.36,8808,botnet_cc,AsyncRAT,100,2026-06-05 01:00:17 UTC
128.90.171.63,4444,botnet_cc,AsyncRAT,100,2026-06-05 00:00:23 UTC
180.93.109.34,8080,botnet_cc,AsyncRAT,100,2026-06-05 00:00:23 UTC
185.165.36.162,5000,botnet_cc,AsyncRAT,100,2026-06-05 00:00:22 UTC
154.88.97.56,8884,botnet_cc,VShell,100,2026-06-05 00:00:21 UTC
34.202.161.96,53,botnet_cc,Cobalt Strike,75,2026-06-04 23:45:28 UTC
154.88.97.61,8884,botnet_cc,VShell,100,2026-06-04 23:00:15 UTC
154.88.97.60,8884,botnet_cc,VShell,100,2026-06-04 23:00:14 UTC
154.88.97.44,8884,botnet_cc,VShell,100,2026-06-04 23:00:13 UTC
154.88.97.43,8884,botnet_cc,VShell,100,2026-06-04 22:00:15 UTC
154.88.97.50,8884,botnet_cc,VShell,100,2026-06-04 22:00:15 UTC
154.88.97.53,8884,botnet_cc,VShell,100,2026-06-04 22:00:15 UTC
139.224.3.228,8084,botnet_cc,VShell,100,2026-06-04 22:00:14 UTC
154.88.96.55,8884,botnet_cc,VShell,100,2026-06-04 21:00:14 UTC
154.88.97.40,8884,botnet_cc,VShell,100,2026-06-04 21:00:14 UTC
207.154.230.229,80,botnet_cc,AdaptixC2,100,2026-06-04 21:00:13 UTC
154.88.96.33,8884,botnet_cc,VShell,100,2026-06-04 20:00:22 UTC
129.150.46.86,8080,botnet_cc,VShell,100,2026-06-04 20:00:21 UTC
181.215.6.77,8888,botnet_cc,Unknown malware,100,2026-06-04 20:00:21 UTC
182.23.2.163,2046,botnet_cc,Remcos,75,2026-06-04 19:43:37 UTC
163.172.174.237,443,botnet_cc,Brute Ratel C4,75,2026-06-04 19:43:27 UTC
163.172.174.237,80,botnet_cc,Brute Ratel C4,75,2026-06-04 19:43:27 UTC
101.37.210.236,8888,botnet_cc,Unknown malware,100,2026-06-04 19:00:16 UTC
101.126.17.8,8085,botnet_cc,VShell,100,2026-06-04 19:00:14 UTC
185.165.36.162,8000,botnet_cc,AsyncRAT,100,2026-06-04 19:00:14 UTC
89.124.102.122,9999,botnet_cc,Unknown malware,75,2026-06-04 18:25:12 UTC
151.243.109.130,9672,botnet_cc,Unknown RAT,75,2026-06-04 18:09:30 UTC
207.154.230.229,8080,botnet_cc,AdaptixC2,100,2026-06-04 18:00:23 UTC
207.154.230.229,443,botnet_cc,AdaptixC2,100,2026-06-04 18:00:22 UTC
154.88.98.33,8884,botnet_cc,VShell,100,2026-06-04 18:00:21 UTC
154.88.98.35,8884,botnet_cc,VShell,100,2026-06-04 18:00:20 UTC
107.150.105.91,8443,botnet_cc,Cobalt Strike,75,2026-06-04 17:45:22 UTC
154.88.97.55,8884,botnet_cc,VShell,100,2026-06-04 17:00:13 UTC
20.64.242.233,1024,botnet_cc,DCRat,100,2026-06-04 17:00:13 UTC
